date,county,fips,place,confirmed_cases,note,x,y,population,UPDATED_ON
12/24/2020 0:00:00,Pasadena,,91104: Pasadena,1222,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/23/2020 0:00:00,Pasadena,,91104: Pasadena,1222,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/22/2020 0:00:00,Pasadena,,91104: Pasadena,1200,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/21/2020 0:00:00,Pasadena,,91104: Pasadena,1178,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/20/2020 0:00:00,Pasadena,,91104: Pasadena,1159,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/19/2020 0:00:00,Pasadena,,91104: Pasadena,1127,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/18/2020 0:00:00,Pasadena,,91104: Pasadena,1107,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/17/2020 0:00:00,Pasadena,,91104: Pasadena,1082,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/16/2020 0:00:00,Pasadena,,91104: Pasadena,1036,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/15/2020 0:00:00,Pasadena,,91104: Pasadena,1011,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/14/2020 0:00:00,Pasadena,,91104: Pasadena,988,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/13/2020 0:00:00,Pasadena,,91104: Pasadena,983,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/12/2020 0:00:00,Pasadena,,91104: Pasadena,960,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/11/2020 0:00:00,Pasadena,,91104: Pasadena,938,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/10/2020 0:00:00,Pasadena,,91104: Pasadena,914,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/9/2020 0:00:00,Pasadena,,91104: Pasadena,885,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/7/2020 0:00:00,Pasadena,,91104: Pasadena,842,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/6/2020 0:00:00,Pasadena,,91104: Pasadena,842,,-118.123449,34.168028,39178,1/10/2021 18:19:43
1/11/2021 0:00:00,Pasadena,,91104: Pasadena,1823,,-118.123449,34.168028,39178,1/12/2021 10:01:19
1/12/2021 0:00:00,Pasadena,,91104: Pasadena,1889,,-118.123449,34.168028,39178,1/13/2021 10:01:29
1/13/2021 0:00:00,Pasadena,,91104: Pasadena,1917,,-118.123449,34.168028,39178,1/14/2021 10:01:24
1/14/2021 0:00:00,Pasadena,,91104: Pasadena,1940,,-118.123449,34.168028,39178,1/15/2021 10:01:12
1/15/2021 0:00:00,Pasadena,,91104: Pasadena,1961,,-118.123449,34.168028,39178,1/16/2021 10:01:24
1/16/2021 0:00:00,Pasadena,,91104: Pasadena,1989,,-118.123449,34.168028,39178,1/17/2021 10:01:21
